ID,Tên SP,Giá,Kho,Lượt Xem,Đã Bán,Chỉnh Sửa,Ảnh,Link Sản Phẩm
2299923568,Gôm hình Robot - Mã 6135,3000,36,0,0,https://banhang.shopee.vn/portal/product/2299923568,https://cf.shopee.vn/file/e122d7538bfd6cffe2a090596f2aad58,https://shopee.vn/product/114297327/2299923568
2253745734,Bút nước khủng long nhiều mẫu,5000,0,0,0,https://banhang.shopee.vn/portal/product/2253745734,https://cf.shopee.vn/file/493ef76e788d8d8fd02b2c72e1ca682d,https://shopee.vn/product/114297327/2253745734
2171936270,Chuốt bút chì hình mèo ngồi xô - Mã 360,5000,75,9,0,https://banhang.shopee.vn/portal/product/2171936270,https://cf.shopee.vn/file/1ff5ef0f2eb414b7355a209b60747536,https://shopee.vn/product/114297327/2171936270
2344686527,Bút nước đen kem ốc quế ( mẫu 2),5000,49,0,0,https://banhang.shopee.vn/portal/product/2344686527,https://cf.shopee.vn/file/eb2ccfd66380ee7eb3d44e4468ebd232,https://shopee.vn/product/114297327/2344686527
2330491779,Combo 100 bóp bút,1300.000,1,6,0,https://banhang.shopee.vn/portal/product/2330491779,https://cf.shopee.vn/file/6cdcec8de2d96e4b77661c3c996440a8,https://shopee.vn/product/114297327/2330491779
2068979053,Chuông lắc cầm tay,35000,5,18,0,https://banhang.shopee.vn/portal/product/2068979053,https://cf.shopee.vn/file/8527cdc265560ea352d93adbed1f6cff,https://shopee.vn/product/114297327/2068979053
2299869226,Bút dạ quang yamayo - Vỉ 4 cây,19000,100,16,1,https://banhang.shopee.vn/portal/product/2299869226,https://cf.shopee.vn/file/b35db8f79c7253c75d63d9a1a523cf5b,https://shopee.vn/product/114297327/2299869226
2283516276,Bóp bút BTS,20000,2,65,0,https://banhang.shopee.vn/portal/product/2283516276,https://cf.shopee.vn/file/4f33bdb42634c5ca21df9046be954487,https://shopee.vn/product/114297327/2283516276
2195155670,Bút nước xanh hình thìa,5000,0,0,0,https://banhang.shopee.vn/portal/product/2195155670,https://cf.shopee.vn/file/bb0c9ffdb01ecac0a5c442af9dc27803,https://shopee.vn/product/114297327/2195155670
2317197885,Giấy bao tập + nhãn + giấy kiếng ( 1 xấp - 10 tờ),20000,15,89,0,https://banhang.shopee.vn/portal/product/2317197885,https://cf.shopee.vn/file/3b27b7b52a34b2a93c5df58c6124445d,https://shopee.vn/product/114297327/2317197885
2322168595,Combo hộp bút,179000,0,0,1,https://banhang.shopee.vn/portal/product/2322168595,https://cf.shopee.vn/file/a41aa4a1faef9afb9b6dfaba367b2894,https://shopee.vn/product/114297327/2322168595
2161603155,Sổ mini - Nhiều hình,4000,60,10,0,https://banhang.shopee.vn/portal/product/2161603155,https://cf.shopee.vn/file/4e59f4973959fbb14f8ecdf9b3ed8792,https://shopee.vn/product/114297327/2161603155
2299869225,Bút nước xanh hình cây thương - Mã 666,5000,24,7,0,https://banhang.shopee.vn/portal/product/2299869225,https://cf.shopee.vn/file/f046f1b9a528fe312708613b6c40aef9,https://shopee.vn/product/114297327/2299869225
2344581991,Bút nước xanh búp bê cầu mưa,5000,2,0,0,https://banhang.shopee.vn/portal/product/2344581991,https://cf.shopee.vn/file/a4d5bf797d51bdeb980e243cdd84e82e,https://shopee.vn/product/114297327/2344581991
2161872302,Thước kẻ thẳng + 2 eke,7000,19,7,0,https://banhang.shopee.vn/portal/product/2161872302,https://cf.shopee.vn/file/12ad7f787aec0bfce5332d7c83e97512,https://shopee.vn/product/114297327/2161872302
2188458971,Bút xóa kéo hình trái tim,17000,95,43,5,https://banhang.shopee.vn/portal/product/2188458971,https://cf.shopee.vn/file/f55f81d2171ab2268cb38109dd8861f4,https://shopee.vn/product/114297327/2188458971
2344686548,Bút nước đen gấu nón ( mẫu 2),5000,50,0,0,https://banhang.shopee.vn/portal/product/2344686548,https://cf.shopee.vn/file/90db12bff2ef88bf81a9f5b7924a4e4d,https://shopee.vn/product/114297327/2344686548
2153093233,Bút nước - sương rồng nhỏ,5000,0,8,0,https://banhang.shopee.vn/portal/product/2153093233,https://cf.shopee.vn/file/b3833ceb5e5e41efb8764ccf6899bff6,https://shopee.vn/product/114297327/2153093233
2154760599,Bút nhũ 6 màu trong 1,5000,16,34,0,https://banhang.shopee.vn/portal/product/2154760599,https://cf.shopee.vn/file/1c898258a3a8133e42cfa300b0d9437a,https://shopee.vn/product/114297327/2154760599
2344686522,Bút nước đen huy hiệu siêu nhân,5000,50,0,0,https://banhang.shopee.vn/portal/product/2344686522,https://cf.shopee.vn/file/a48fc8b9089f5b6a6c28fb39b5126a53,https://shopee.vn/product/114297327/2344686522
2268774016,Bóp viết có nước đẹp tuyệt vời,32000,10,118,0,https://banhang.shopee.vn/portal/product/2268774016,https://cf.shopee.vn/file/e280ece1a53d55c24fd62d8280c87206,https://shopee.vn/product/114297327/2268774016
2175175953,Bóp viết ngựa Unicorn,23000,0,0,0,https://banhang.shopee.vn/portal/product/2175175953,https://cf.shopee.vn/file/02a35225ae8671b8789bd402845db84f,https://shopee.vn/product/114297327/2175175953
2182873584,Chuốt bút chì hình cá voi - Mã 363,5000,47,7,1,https://banhang.shopee.vn/portal/product/2182873584,https://cf.shopee.vn/file/d8f6ea6be07053cc4b8cccd31c7c4d1b,https://shopee.vn/product/114297327/2182873584
2201970081,Móc khoá UNICORN,20000,0,16,0,https://banhang.shopee.vn/portal/product/2201970081,https://cf.shopee.vn/file/da83d7ea5c0804f69582cb7182828a34,https://shopee.vn/product/114297327/2201970081
2179124091,Giấy note mini thú xinh,2500,19,59,0,https://banhang.shopee.vn/portal/product/2179124091,https://cf.shopee.vn/file/392daa48962a942af9ef2669f8aa36b1,https://shopee.vn/product/114297327/2179124091
2195174254,Bút dạ quang sao 5 cánh,13000,44,93,10,https://banhang.shopee.vn/portal/product/2195174254,https://cf.shopee.vn/file/3fcc6fd9fb0d37f585e65d50509325a8,https://shopee.vn/product/114297327/2195174254
2317161930,Hộp viết nhựa Mickey- Kitty_Mã 7093,18000,6,5,0,https://banhang.shopee.vn/portal/product/2317161930,https://cf.shopee.vn/file/8dca9b647d990eb083467af7435c1d28,https://shopee.vn/product/114297327/2317161930
2317164799,Hộp viết nhựa Công chúa _ Mã 7093,18000,17,22,0,https://banhang.shopee.vn/portal/product/2317164799,https://cf.shopee.vn/file/6819a70c19ae37c03a6e0070a7e4b6d4,https://shopee.vn/product/114297327/2317164799
